Position,Company,Location,URL
주간 2교대[당일지급120220]한국전력 변압기부품[상여400]생산직,굿앰비즈,인천 미추홀구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40820998?Oem_Code=C1&logpath=1&stext=전력&listno=23
(주)엠파워[전력사업부] 공무업무직원 채용(여성지원가능),㈜엠파워,경기 군포시,https://www.jobkorea.co.kr/Recruit/GI_Read/40811856?Oem_Code=C1&logpath=1&stext=전력&listno=24
전력전자분야 정규직 채용,와이파워원,대전 유성구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40804820?Oem_Code=C1&logpath=1&stext=전력&listno=25
전력 케이블 점검 업무 신입사원 채용 공고,㈜엠파워,전남 여수시,https://www.jobkorea.co.kr/Recruit/GI_Read/40791844?Oem_Code=C1&logpath=1&stext=전력&listno=26
국제통신공업(주) 전기전력장비 고객지원 및 A/S - 신입  경력직 채용,국제통신공업㈜,경기 남양주시,https://www.jobkorea.co.kr/Recruit/GI_Read/40775436?Oem_Code=C1&logpath=1&stext=전력&listno=27
전기전력장비 (UPS  ESS) 기계 및 구조설계 엔지니어[신입/경력] 모집,국제통신공업㈜,경기 남양주시,https://www.jobkorea.co.kr/Recruit/GI_Read/40775377?Oem_Code=C1&logpath=1&stext=전력&listno=28
전기전력장비 (UPS  ESS) 하드웨어  펌웨어 엔지니어[신입/경력] 모집,국제통신공업㈜,경기 남양주시,https://www.jobkorea.co.kr/Recruit/GI_Read/40775324?Oem_Code=C1&logpath=1&stext=전력&listno=29
[전력거래소 자회사] 케이피엑스서비스원(주) 정규직(전환형 인턴) 채용 공고,케이피엑스서비스원,전남 나주시,https://www.jobkorea.co.kr/Recruit/GI_Read/40767915?Oem_Code=C1&logpath=1&stext=전력&listno=30
수배전 전문업체  전력변환장치 전문 업체이며 신입  경력 다 모집합니다.,㈜태영산전,경북 포항시,https://www.jobkorea.co.kr/Recruit/GI_Read/40752513?Oem_Code=C1&logpath=1&stext=전력&listno=31
전력전자분야 솔루션 기술지원 채용,㈜다한테크,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40742766?Oem_Code=C1&logpath=1&stext=전력&listno=32
서해선 향남 송산 간 전력설비 공사현장 안전관리자,백승개발,경기 화성시,https://www.jobkorea.co.kr/Recruit/GI_Read/40735516?Oem_Code=C1&logpath=1&stext=전력&listno=33
전력전자 소프트웨어 엔지니어 모집 (H.W / S.W 경험자),현대파워시스템㈜,경기 광주시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40726168?Oem_Code=C1&logpath=1&stext=전력&listno=34
전력/전기분야 안전인증 엔지니어 채용,유엘코리아㈜,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/40723863?Oem_Code=C1&logpath=1&stext=전력&listno=35
[한전에프엠에스] 성남전력지사 시설(냉난방 및 시설관리)  채용공고,한전에프엠에스㈜,경기 성남시,https://www.jobkorea.co.kr/Recruit/GI_Read/40714727?Oem_Code=C1&logpath=1&stext=전력&listno=36
[주간/ 잔특X / 월220만/ 전력용 변압기 단순조립생산/ 중장년및 F비자가능] 단대병원 인근,㈜민성테크,충남 천안시 외,https://www.jobkorea.co.kr/Recruit/GI_Read/40710075?Oem_Code=C1&logpath=1&stext=전력&listno=37
[한전에프엠에스] 한국전력 본사 시설관리(영선) 채용,한전에프엠에스㈜,전남 나주시,https://www.jobkorea.co.kr/Recruit/GI_Read/40707331?Oem_Code=C1&logpath=1&stext=전력&listno=38
[한전에프엠에스] 고창전력시험센터 시설관리 채용,한전에프엠에스㈜,전북 고창군,https://www.jobkorea.co.kr/Recruit/GI_Read/40699050?Oem_Code=C1&logpath=1&stext=전력&listno=39
전력계측장치 생산관리 및 품질관리,㈜에프에스,대전 유성구,https://www.jobkorea.co.kr/Recruit/GI_Read/40656679?Oem_Code=C1&logpath=1&stext=전력&listno=40
수배전반  변압기등 전력기기관련 견적업무 및 기술영업에 함께하실 인재를 모집합니다.,노바엔지니어링㈜,서울 성동구,https://www.jobkorea.co.kr/Recruit/GI_Read/40637637?Oem_Code=C1&logpath=1&stext=전력&listno=41
